District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Bottrop;Kreisfreie Stadt;3933.14336749883;84.2087355930762;117565.0;4624.0;21.04.2021, 00:00 Uhr;05512
Gelsenkirchen;Kreisfreie Stadt;5059.21546727262;254.193225365403;259645.0;13136.0;21.04.2021, 00:00 Uhr;05513
Münster;Kreisfreie Stadt;2277.88120890727;95.1495910153413;315293.0;7182.0;21.04.2021, 00:00 Uhr;05515
Borken;Kreis;3261.44035503947;147.574049588112;371339.0;12111.0;21.04.2021, 00:00 Uhr;05554
Coesfeld;Kreis;2226.79589819844;93.3876129944783;220586.0;4912.0;21.04.2021, 00:00 Uhr;05558
Recklinghausen;Kreis;4498.6704920889;180.41577042256;614137.0;27628.0;21.04.2021, 00:00 Uhr;05562
Steinfurt;Kreis;3161.17085359868;160.63540225782;448220.0;14169.0;21.04.2021, 00:00 Uhr;05566
Warendorf;Kreis;3650.66225165563;166.282752663403;277840.0;10143.0;21.04.2021, 00:00 Uhr;05570
Bielefeld;Kreisfreie Stadt;3790.90052215024;172.354463711306;334195.0;12669.0;21.04.2021, 00:00 Uhr;05711
Gütersloh;Kreis;4596.67121538453;198.38986348366;364938.0;16775.0;21.04.2021, 00:00 Uhr;05754
Herford;Kreis;3824.35808410954;142.470607954409;250578.0;9583.0;21.04.2021, 00:00 Uhr;05758
Höxter;Kreis;3186.43004327955;63.457658055914;140251.0;4469.0;21.04.2021, 00:00 Uhr;05762
Lippe;Kreis;4326.73216043095;180.424385780141;347514.0;15036.0;21.04.2021, 00:00 Uhr;05766
Minden-Lübbecke;Kreis;4266.95102268298;172.675405674449;310409.0;13245.0;21.04.2021, 00:00 Uhr;05770
Paderborn;Kreis;2698.8133407398;135.135574115041;307839.0;8308.0;21.04.2021, 00:00 Uhr;05774
Bochum;Kreisfreie Stadt;3697.8886010717;158.375434575081;365587.0;13519.0;21.04.2021, 00:00 Uhr;05911
Dortmund;Kreisfreie Stadt;4001.35996600085;213.854653633659;588250.0;23538.0;21.04.2021, 00:00 Uhr;05913
Hagen;Kreisfreie Stadt;5354.39831254041;250.151044592604;188686.0;10103.0;21.04.2021, 00:00 Uhr;05914
Hamm;Kreisfreie Stadt;4706.08506191778;239.000422419351;179916.0;8467.0;21.04.2021, 00:00 Uhr;05915
Herne;Kreisfreie Stadt;5285.42847829005;257.591930916784;156449.0;8269.0;21.04.2021, 00:00 Uhr;05916
Ennepe-Ruhr-Kreis;Kreis;3580.31014544624;132.672644134944;324106.0;11604.0;21.04.2021, 00:00 Uhr;05954
Hochsauerlandkreis;Kreis;3085.33857885802;132.421269011498;259777.0;8015.0;21.04.2021, 00:00 Uhr;05958
Märkischer Kreis;Kreis;4291.09116527149;215.736844927868;410222.0;17603.0;21.04.2021, 00:00 Uhr;05962
Olpe;Kreis;3554.1786420813;170.206412601247;133955.0;4761.0;21.04.2021, 00:00 Uhr;05966
Siegen-Wittgenstein;Kreis;3633.58657345889;136.850771275059;276944.0;10063.0;21.04.2021, 00:00 Uhr;05970
Soest;Kreis;2459.69812946303;117.964776247991;301785.0;7423.0;21.04.2021, 00:00 Uhr;05974
Unna;Kreis;4077.83413650856;220.3139600548;394891.0;16103.0;21.04.2021, 00:00 Uhr;05978
Darmstadt;Kreisfreie Stadt;3101.11459988241;100.701785111147;159878.0;4958.0;21.04.2021, 00:00 Uhr;06411
Frankfurt am Main;Kreisfreie Stadt;4365.06065131389;160.208546202416;763380.0;33322.0;21.04.2021, 00:00 Uhr;06412
Offenbach am Main;Kreisfreie Stadt;6017.80779858766;287.841571998772;130280.0;7840.0;21.04.2021, 00:00 Uhr;06413
Wiesbaden;Kreisfreie Stadt;3853.86068358267;128.557782773257;278474.0;10732.0;21.04.2021, 00:00 Uhr;06414
Bergstraße;Landkreis;3469.33491159281;109.861655692831;270340.0;9379.0;21.04.2021, 00:00 Uhr;06431
Darmstadt-Dieburg;Landkreis;3259.08865043446;121.875881333853;297844.0;9707.0;21.04.2021, 00:00 Uhr;06432
Groß-Gerau;Landkreis;4402.55906225746;178.075335659314;275726.0;12139.0;21.04.2021, 00:00 Uhr;06433
Hochtaunuskreis;Landkreis;3044.14260026845;107.211899676676;236914.0;7212.0;21.04.2021, 00:00 Uhr;06434
Main-Kinzig-Kreis;Landkreis;4622.49614791988;160.978903916757;420552.0;19440.0;21.04.2021, 00:00 Uhr;06435
Main-Taunus-Kreis;Landkreis;3207.1865122947;135.396842696535;238558.0;7651.0;21.04.2021, 00:00 Uhr;06436
Odenwaldkreis;Landkreis;3941.96664012492;138.568606971862;96703.0;3812.0;21.04.2021, 00:00 Uhr;06437
Offenbach;Landkreis;4491.96628566129;149.797787039821;355813.0;15983.0;21.04.2021, 00:00 Uhr;06438
Rheingau-Taunus-Kreis;Landkreis;3283.28702714255;133.575550331267;187160.0;6145.0;21.04.2021, 00:00 Uhr;06439
Wetteraukreis;Landkreis;3763.39029444864;102.484602985675;308339.0;11604.0;21.04.2021, 00:00 Uhr;06440
Gießen;Landkreis;4433.14812625606;184.345076250148;270688.0;12000.0;21.04.2021, 00:00 Uhr;06531
Lahn-Dill-Kreis;Landkreis;4222.738918123;191.458200924526;253319.0;10697.0;21.04.2021, 00:00 Uhr;06532
Limburg-Weilburg;Landkreis;4579.08697473126;288.519707757457;171912.0;7872.0;21.04.2021, 00:00 Uhr;06533
Marburg-Biedenkopf;Landkreis;3808.01670686892;184.552621780447;247084.0;9409.0;21.04.2021, 00:00 Uhr;06534
Vogelsbergkreis;Landkreis;3323.45730431737;190.263434396979;105643.0;3511.0;21.04.2021, 00:00 Uhr;06535
Kassel;Kreisfreie Stadt;3298.25811207251;175.623463294696;202137.0;6667.0;21.04.2021, 00:00 Uhr;06611
Fulda;Landkreis;5091.75648121177;246.028367205181;223145.0;11362.0;21.04.2021, 00:00 Uhr;06631
Hersfeld-Rotenburg;Landkreis;4194.03739262254;249.339374911986;120719.0;5063.0;21.04.2021, 00:00 Uhr;06632
Kassel;Landkreis;2840.80350053218;127.130813806153;236764.0;6726.0;21.04.2021, 00:00 Uhr;06633
Schwalm-Eder-Kreis;Landkreis;3068.90851713947;103.521397204922;179673.0;5514.0;21.04.2021, 00:00 Uhr;06634
Waldeck-Frankenberg;Landkreis;3333.63170210861;111.248929069217;156406.0;5214.0;21.04.2021, 00:00 Uhr;06635
Werra-Meißner-Kreis;Landkreis;2979.26045175844;103.349928946924;100629.0;2998.0;21.04.2021, 00:00 Uhr;06636
Koblenz;Kreisfreie Stadt;3472.10044541087;184.126538771788;114052.0;3960.0;21.04.2021, 00:00 Uhr;07111
Ahrweiler;Landkreis;2951.12464062236;121.458112325692;130086.0;3839.0;21.04.2021, 00:00 Uhr;07131
Altenkirchen (Westerwald);Landkreis;3186.21171538372;136.640658359536;128805.0;4104.0;21.04.2021, 00:00 Uhr;07132
Bad Kreuznach;Landkreis;3186.71255802204;149.041649562664;158345.0;5046.0;21.04.2021, 00:00 Uhr;07133
Birkenfeld;Landkreis;3457.64721868785;121.060888685748;80951.0;2799.0;21.04.2021, 00:00 Uhr;07134
Cochem-Zell;Landkreis;2864.35845213849;66.8024439918534;61375.0;1758.0;21.04.2021, 00:00 Uhr;07135
