District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Kleve;Kreis;2313.85915222505;98.2510041124606;312465.0;7230.0;11.03.2021, 00:00 Uhr;05154
Mettmann;Kreis;3321.45725642029;74.9634450233746;485570.0;16128.0;11.03.2021, 00:00 Uhr;05158
Rhein-Kreis Neuss;Kreis;2637.19478449516;49.3657715892236;451730.0;11913.0;11.03.2021, 00:00 Uhr;05162
Viersen;Kreis;2777.52682667309;63.9088813268956;298863.0;8301.0;11.03.2021, 00:00 Uhr;05166
Wesel;Kreis;2622.09332660834;50.4374141259544;459976.0;12061.0;11.03.2021, 00:00 Uhr;05170
Bonn;Kreisfreie Stadt;2948.6794490298;60.9695061470002;329673.0;9721.0;11.03.2021, 00:00 Uhr;05314
Köln;Kreisfreie Stadt;3217.04111639058;72.619438293241;1087863.0;34997.0;11.03.2021, 00:00 Uhr;05315
Leverkusen;Kreisfreie Stadt;3033.67149374882;65.9626578064973;163729.0;4967.0;11.03.2021, 00:00 Uhr;05316
Städteregion Aachen;Kreis;3348.13814795001;76.8366288108634;557026.0;18650.0;11.03.2021, 00:00 Uhr;05334
Düren;Kreis;3644.22342974176;130.366765166;264638.0;9644.0;11.03.2021, 00:00 Uhr;05358
Rhein-Erft-Kreis;Kreis;2685.20977869384;80.9578955196923;470615.0;12637.0;11.03.2021, 00:00 Uhr;05362
Euskirchen;Kreis;2718.22200190028;39.2448465319949;193656.0;5264.0;11.03.2021, 00:00 Uhr;05366
Heinsberg;Kreis;3355.44207704799;43.8261822308309;255555.0;8575.0;11.03.2021, 00:00 Uhr;05370
Oberbergischer Kreis;Kreis;3297.83832064604;105.12502894614;272057.0;8972.0;11.03.2021, 00:00 Uhr;05374
Rheinisch-Bergischer Kreis;Kreis;2702.71224375245;60.013202904639;283271.0;7656.0;11.03.2021, 00:00 Uhr;05378
Rhein-Sieg-Kreis;Kreis;2677.75698943345;50.7686878707779;600764.0;16087.0;11.03.2021, 00:00 Uhr;05382
Bottrop;Kreisfreie Stadt;3377.70594990006;39.1272912856718;117565.0;3971.0;11.03.2021, 00:00 Uhr;05512
Gelsenkirchen;Kreisfreie Stadt;4027.42205703942;81.6499451173718;259645.0;10457.0;11.03.2021, 00:00 Uhr;05513
Münster;Kreisfreie Stadt;1798.32727018995;47.2576302042862;315293.0;5670.0;11.03.2021, 00:00 Uhr;05515
Borken;Kreis;2525.18588136447;79.1729390126004;371339.0;9377.0;11.03.2021, 00:00 Uhr;05554
Coesfeld;Kreis;1793.85817776287;39.8937375898742;220586.0;3957.0;11.03.2021, 00:00 Uhr;05558
Recklinghausen;Kreis;3690.87027813012;63.5037459068579;614137.0;22667.0;11.03.2021, 00:00 Uhr;05562
Steinfurt;Kreis;2431.61840167775;57.7841238677435;448220.0;10899.0;11.03.2021, 00:00 Uhr;05566
Warendorf;Kreis;3078.03052116326;53.2680679527786;277840.0;8552.0;11.03.2021, 00:00 Uhr;05570
Bielefeld;Kreisfreie Stadt;3063.18167536917;33.2141414443663;334195.0;10237.0;11.03.2021, 00:00 Uhr;05711
Gütersloh;Kreis;3851.33913157851;63.2984232938198;364938.0;14055.0;11.03.2021, 00:00 Uhr;05754
Herford;Kreis;3048.5517483578;81.8108533071539;250578.0;7639.0;11.03.2021, 00:00 Uhr;05758
Höxter;Kreis;2826.36130936678;33.5113475126737;140251.0;3964.0;11.03.2021, 00:00 Uhr;05762
Lippe;Kreis;3348.35431090546;56.4006054432339;347514.0;11636.0;11.03.2021, 00:00 Uhr;05766
Minden-Lübbecke;Kreis;3380.05663495582;82.1496799384039;310409.0;10492.0;11.03.2021, 00:00 Uhr;05770
Paderborn;Kreis;2163.1437212309;36.0578094393498;307839.0;6659.0;11.03.2021, 00:00 Uhr;05774
Bochum;Kreisfreie Stadt;2986.70357534595;61.8183906976999;365587.0;10919.0;11.03.2021, 00:00 Uhr;05911
Dortmund;Kreisfreie Stadt;3208.1597960051;60.1784955376116;588250.0;18872.0;11.03.2021, 00:00 Uhr;05913
Hagen;Kreisfreie Stadt;4191.08995897947;108.646110469245;188686.0;7908.0;11.03.2021, 00:00 Uhr;05914
Hamm;Kreisfreie Stadt;3914.60459325463;113.942061851086;179916.0;7043.0;11.03.2021, 00:00 Uhr;05915
Herne;Kreisfreie Stadt;4228.21494544548;132.950674021566;156449.0;6615.0;11.03.2021, 00:00 Uhr;05916
Ennepe-Ruhr-Kreis;Kreis;2879.92200082689;53.3775986868494;324106.0;9334.0;11.03.2021, 00:00 Uhr;05954
Hochsauerlandkreis;Kreis;2439.01500132806;75.4493276925979;259777.0;6336.0;11.03.2021, 00:00 Uhr;05958
Märkischer Kreis;Kreis;3084.91499724539;141.386858822784;410222.0;12655.0;11.03.2021, 00:00 Uhr;05962
Olpe;Kreis;2927.10238512933;70.1728192303385;133955.0;3921.0;11.03.2021, 00:00 Uhr;05966
Siegen-Wittgenstein;Kreis;2609.91391761511;103.269975157433;276944.0;7228.0;11.03.2021, 00:00 Uhr;05970
Soest;Kreis;1904.00450651954;58.6510263929619;301785.0;5746.0;11.03.2021, 00:00 Uhr;05974
Unna;Kreis;3349.53189614349;56.4712794163453;394891.0;13227.0;11.03.2021, 00:00 Uhr;05978
Darmstadt;Kreisfreie Stadt;2595.10376662205;51.9145848709641;159878.0;4149.0;11.03.2021, 00:00 Uhr;06411
Frankfurt am Main;Kreisfreie Stadt;3556.81312059525;75.8468914564175;763380.0;27152.0;11.03.2021, 00:00 Uhr;06412
Offenbach am Main;Kreisfreie Stadt;4544.82652747928;131.25575683144;130280.0;5921.0;11.03.2021, 00:00 Uhr;06413
Wiesbaden;Kreisfreie Stadt;3233.33596673298;63.5606914828673;278474.0;9004.0;11.03.2021, 00:00 Uhr;06414
Bergstraße;Landkreis;2795.73869941555;68.8022490197529;270340.0;7558.0;11.03.2021, 00:00 Uhr;06431
Darmstadt-Dieburg;Landkreis;2655.75267589745;51.7049193537557;297844.0;7910.0;11.03.2021, 00:00 Uhr;06432
Groß-Gerau;Landkreis;3531.7670440945;78.7013194258068;275726.0;9738.0;11.03.2021, 00:00 Uhr;06433
Hochtaunuskreis;Landkreis;2365.41529837831;77.2432190583925;236914.0;5604.0;11.03.2021, 00:00 Uhr;06434
Main-Kinzig-Kreis;Landkreis;3677.07203865396;95.8264376343472;420552.0;15464.0;11.03.2021, 00:00 Uhr;06435
Main-Taunus-Kreis;Landkreis;2562.47956471801;51.5597883952749;238558.0;6113.0;11.03.2021, 00:00 Uhr;06436
Odenwaldkreis;Landkreis;3333.91931997973;55.8410804214967;96703.0;3224.0;11.03.2021, 00:00 Uhr;06437
Offenbach;Landkreis;3635.05549263237;88.2486024962551;355813.0;12934.0;11.03.2021, 00:00 Uhr;06438
Rheingau-Taunus-Kreis;Landkreis;2732.95575977773;60.3761487497328;187160.0;5115.0;11.03.2021, 00:00 Uhr;06439
Wetteraukreis;Landkreis;3022.32283298577;70.3770849616818;308339.0;9319.0;11.03.2021, 00:00 Uhr;06440
Gießen;Landkreis;3312.66993734484;79.0578082515664;270688.0;8967.0;11.03.2021, 00:00 Uhr;06531
Lahn-Dill-Kreis;Landkreis;3029.38192555631;112.506365491732;253319.0;7674.0;11.03.2021, 00:00 Uhr;06532
Limburg-Weilburg;Landkreis;3477.94220298758;69.8031551026106;171912.0;5979.0;11.03.2021, 00:00 Uhr;06533
Marburg-Biedenkopf;Landkreis;2898.60937980606;88.2291042722313;247084.0;7162.0;11.03.2021, 00:00 Uhr;06534
Vogelsbergkreis;Landkreis;2485.73024242023;32.183864524862;105643.0;2626.0;11.03.2021, 00:00 Uhr;06535
Kassel;Kreisfreie Stadt;2568.55498993257;56.8921078278593;202137.0;5192.0;11.03.2021, 00:00 Uhr;06611
Fulda;Landkreis;3784.53471957696;109.34594098008;223145.0;8445.0;11.03.2021, 00:00 Uhr;06631
Hersfeld-Rotenburg;Landkreis;2846.2793760717;78.6951515502945;120719.0;3436.0;11.03.2021, 00:00 Uhr;06632
Kassel;Landkreis;2266.81421162001;37.5901741818858;236764.0;5367.0;11.03.2021, 00:00 Uhr;06633
Schwalm-Eder-Kreis;Landkreis;2592.48746333617;31.1677324918046;179673.0;4658.0;11.03.2021, 00:00 Uhr;06634
Waldeck-Frankenberg;Landkreis;2756.92748360037;49.2308479214352;156406.0;4312.0;11.03.2021, 00:00 Uhr;06635
Werra-Meißner-Kreis;Landkreis;2327.36089993938;57.637460374246;100629.0;2342.0;11.03.2021, 00:00 Uhr;06636
Koblenz;Kreisfreie Stadt;2764.52846070214;36.8253077543577;114052.0;3153.0;11.03.2021, 00:00 Uhr;07111
Ahrweiler;Landkreis;2392.26357947819;63.0352228525744;130086.0;3112.0;11.03.2021, 00:00 Uhr;07131
Altenkirchen (Westerwald);Landkreis;2160.63041031016;97.0459221303521;128805.0;2783.0;11.03.2021, 00:00 Uhr;07132
Bad Kreuznach;Landkreis;2702.95872935678;27.1558937762481;158345.0;4280.0;11.03.2021, 00:00 Uhr;07133
Birkenfeld;Landkreis;2833.81304739904;50.6479228175069;80951.0;2294.0;11.03.2021, 00:00 Uhr;07134
Cochem-Zell;Landkreis;2543.38085539715;21.1812627291242;61375.0;1561.0;11.03.2021, 00:00 Uhr;07135
Mayen-Koblenz;Landkreis;2147.04757641046;46.6343956648666;214434.0;4604.0;11.03.2021, 00:00 Uhr;07137
Neuwied;Landkreis;2931.98986931859;91.8981899338661;182811.0;5360.0;11.03.2021, 00:00 Uhr;07138
Rhein-Hunsrück-Kreis;Landkreis;2556.14900691139;34.8962321762647;103163.0;2637.0;11.03.2021, 00:00 Uhr;07140
Rhein-Lahn-Kreis;Landkreis;2300.95586972698;76.8620653000482;122297.0;2814.0;11.03.2021, 00:00 Uhr;07141
Westerwaldkreis;Landkreis;2300.59830414454;52.0049132260876;201904.0;4645.0;11.03.2021, 00:00 Uhr;07143
Trier;Kreisfreie Stadt;1692.84843268058;18.8293522702819;111528.0;1888.0;11.03.2021, 00:00 Uhr;07211
Bernkastel-Wittlich;Landkreis;1875.83901567348;33.7828827467262;112483.0;2110.0;11.03.2021, 00:00 Uhr;07231
Eifelkreis Bitburg-Prüm;Landkreis;2408.68985846676;36.342344888853;99058.0;2386.0;11.03.2021, 00:00 Uhr;07232
Vulkaneifel;Landkreis;2414.00916795832;46.1695742505689;60646.0;1464.0;11.03.2021, 00:00 Uhr;07233
Trier-Saarburg;Landkreis;2147.95378786865;34.1370031727332;149398.0;3209.0;11.03.2021, 00:00 Uhr;07235
Frankenthal (Pfalz);Kreisfreie Stadt;3119.23218899963;114.843525696239;48762.0;1521.0;11.03.2021, 00:00 Uhr;07311
Kaiserslautern;Kreisfreie Stadt;2461.26162151355;32.9901029691093;100030.0;2462.0;11.03.2021, 00:00 Uhr;07312
Landau in der Pfalz;Kreisfreie Stadt;2421.02344233271;36.2620251274504;46881.0;1135.0;11.03.2021, 00:00 Uhr;07313
Ludwigshafen am Rhein;Kreisfreie Stadt;4060.30664197431;54.5708928146389;172253.0;6994.0;11.03.2021, 00:00 Uhr;07314
Mainz;Kreisfreie Stadt;3143.04275819158;47.5802688285189;218578.0;6870.0;11.03.2021, 00:00 Uhr;07315
Neustadt an der Weinstraße;Kreisfreie Stadt;2281.09041754281;13.1420847101232;53264.0;1215.0;11.03.2021, 00:00 Uhr;07316
Pirmasens;Kreisfreie Stadt;2224.65263105565;99.4258159131018;40231.0;895.0;11.03.2021, 00:00 Uhr;07317
Speyer;Kreisfreie Stadt;4014.95223591306;29.667134748126;50561.0;2030.0;11.03.2021, 00:00 Uhr;07318
Worms;Kreisfreie Stadt;3126.57106605061;44.2891000933662;83542.0;2612.0;11.03.2021, 00:00 Uhr;07319
Zweibrücken;Kreisfreie Stadt;1433.04185067119;29.2457520545141;34193.0;490.0;11.03.2021, 00:00 Uhr;07320
Alzey-Worms;Landkreis;2633.2631643881;35.4700162699422;129687.0;3415.0;11.03.2021, 00:00 Uhr;07331
Bad Dürkheim;Landkreis;2411.22777396718;33.9184900995696;132671.0;3199.0;11.03.2021, 00:00 Uhr;07332
Donnersbergkreis;Landkreis;2163.95618984401;25.2240292067707;75325.0;1630.0;11.03.2021, 00:00 Uhr;07333
Germersheim;Landkreis;2907.45893824653;86.8129568338074;129013.0;3751.0;11.03.2021, 00:00 Uhr;07334
Kaiserslautern;Landkreis;2609.95102803386;18.8716632540409;105979.0;2766.0;11.03.2021, 00:00 Uhr;07335
Kusel;Landkreis;2285.70614790869;15.6652757800595;70219.0;1605.0;11.03.2021, 00:00 Uhr;07336
Südliche Weinstraße;Landkreis;2308.15863048651;56.0979361388333;110521.0;2551.0;11.03.2021, 00:00 Uhr;07337
Rhein-Pfalz-Kreis;Landkreis;3066.4450323073;56.9177732214813;154609.0;4741.0;11.03.2021, 00:00 Uhr;07338
Mainz-Bingen;Landkreis;2486.08200854236;37.8399088058198;211417.0;5256.0;11.03.2021, 00:00 Uhr;07339
Südwestpfalz;Landkreis;1909.71306851135;70.6520019824741;94831.0;1811.0;11.03.2021, 00:00 Uhr;07340
Stuttgart;Stadtkreis;3033.91512334273;70.7646195772679;635911.0;19293.0;11.03.2021, 00:00 Uhr;08111
Böblingen;Landkreis;2939.10240907112;41.4962055156858;392807.0;11545.0;11.03.2021, 00:00 Uhr;08115
